drug_id,drug_name,drug_type,max_stage,n_interactome_targets_hit,targets_hit,moa,moa_n_targets,hits_first_shell,hits_eef1a_seed,n_indications,inds_score,on_score,se_score_undefined,composite_score_variantA,pathway_score_raw,pathway_score,composite_score_variantB,rank_variantA,rank_variantB,rank_shift_B_vs_A
CHEMBL3137343,PEMBROLIZUMAB,Antibody,APPROVAL,1,PDCD1,Programmed cell death protein 1 inhibitor,1,TRUE,FALSE,125,1,0,0,1,2.09861228866811,0,1,1,1,0
CHEMBL3653256,SIREMADLIN,Small molecule,PHASE_2,1,MDM2,Tumour suppressor p53/oncoprotein Mdm2 inhibitor,2,TRUE,FALSE,7,0.056,0.01282051282051282,0,0.02456713810040578,7.069949357461537,1,0.8844788879097125,201,2,199
CHEMBL4091801,ALRIZOMADLIN,Small molecule,PHASE_2,1,MDM2,Tumour suppressor p53/oncoprotein Mdm2 inhibitor,2,TRUE,FALSE,7,0.056,0.01282051282051282,0,0.02456713810040578,7.069949357461537,1,0.8844788879097125,201,3,198
CHEMBL2108785,ZOLIMOMAB ARITOX,Antibody drug conjugate,PHASE_2,55,RPL10;RPL10A;RPL11;RPL12;RPL13;RPL13A;RPL14;RPL15;RPL17;RPL18;RPL18A;RPL19;RPL21;RPL23;RPL23A;RPL24;RPL26;RPL27;RPL27A;RPL28;RPL29;RPL3;RPL30;RPL31;RPL35;RPL35A;RPL37A;RPL38;RPL4;RPL5;RPL6;RPL7;RPL7A;RPL8;RPL9;RPLP0;RPLP1;RPS11;RPS13;RPS14;RPS15A;RPS16;RPS18;RPS2;RPS20;RPS23;RPS27;RPS3;RPS3A;RPS4X;RPS5;RPS6;RPS7;RPS8;RPS9,80S Ribosome inhibitor; T-cell surface glycoprotein CD5 binding agent,79,TRUE,FALSE,0,0,1,0,1,2.4548232884886176,0.07165295671793226,0.883112879045609,1,4,-3
CHEMBL1743000,CITATUZUMAB BOGATOX,Antibody drug conjugate,PHASE_1,55,RPL10;RPL10A;RPL11;RPL12;RPL13;RPL13A;RPL14;RPL15;RPL17;RPL18;RPL18A;RPL19;RPL21;RPL23;RPL23A;RPL24;RPL26;RPL27;RPL27A;RPL28;RPL29;RPL3;RPL30;RPL31;RPL35;RPL35A;RPL37A;RPL38;RPL4;RPL5;RPL6;RPL7;RPL7A;RPL8;RPL9;RPLP0;RPLP1;RPS11;RPS13;RPS14;RPS15A;RPS16;RPS18;RPS2;RPS20;RPS23;RPS27;RPS3;RPS3A;RPS4X;RPS5;RPS6;RPS7;RPS8;RPS9,80S Ribosome inhibitor; Epithelial cell adhesion molecule binding agent,79,TRUE,FALSE,1,0.008,1,0,0.9843769686279452,2.4548232884886176,0.07165295671793226,0.8709742493281247,3,5,-2
CHEMBL2108738,NIVOLUMAB,Antibody,APPROVAL,1,PDCD1,Programmed cell death protein 1 inhibitor,1,TRUE,FALSE,116,0.928,0,0,0.8656716417910448,2.09861228866811,0,0.8656716417910448,7,6,1
CHEMBL2402737,IDASANUTLIN,Small molecule,PHASE_3,1,MDM2,Tumour suppressor p53/oncoprotein Mdm2 inhibitor,2,TRUE,FALSE,11,0.088,0.01282051282051282,0,0.0408210239059515,7.069949357461537,1,0.8443334083456042,175,7,168
CHEMBL4297789,MT-3724,Unknown,PHASE_2,55,RPL10;RPL10A;RPL11;RPL12;RPL13;RPL13A;RPL14;RPL15;RPL17;RPL18;RPL18A;RPL19;RPL21;RPL23;RPL23A;RPL24;RPL26;RPL27;RPL27A;RPL28;RPL29;RPL3;RPL30;RPL31;RPL35;RPL35A;RPL37A;RPL38;RPL4;RPL5;RPL6;RPL7;RPL7A;RPL8;RPL9;RPLP0;RPLP1;RPS11;RPS13;RPS14;RPS15A;RPS16;RPS18;RPS2;RPS20;RPS23;RPS27;RPS3;RPS3A;RPS4X;RPS5;RPS6;RPS7;RPS8;RPS9,80S Ribosome inhibitor; B-lymphocyte antigen CD20 binding agent,79,TRUE,FALSE,5,0.04,1,0,0.9287833827893176,2.4548232884886176,0.07165295671793226,0.8275172688735872,4,8,-4
CHEMBL4297744,ELX-02,Unknown,PHASE_2,55,RPL10;RPL10A;RPL11;RPL12;RPL13;RPL13A;RPL14;RPL15;RPL17;RPL18;RPL18A;RPL19;RPL21;RPL23;RPL23A;RPL24;RPL26;RPL27;RPL27A;RPL28;RPL29;RPL3;RPL30;RPL31;RPL35;RPL35A;RPL37A;RPL38;RPL4;RPL5;RPL6;RPL7;RPL7A;RPL8;RPL9;RPLP0;RPLP1;RPS11;RPS13;RPS14;RPS15A;RPS16;RPS18;RPS2;RPS20;RPS23;RPS27;RPS3;RPS3A;RPS4X;RPS5;RPS6;RPS7;RPS8;RPS9,80S Ribosome modulator,78,TRUE,FALSE,5,0.04,0.9871794871794872,0,0.905296865285802,2.4548232884886176,0.07165295671793226,0.8066849024091551,5,9,-4
CHEMBL3125702,NAVTEMADLIN,Small molecule,PHASE_3,1,MDM2,Tumour suppressor p53/oncoprotein Mdm2 inhibitor,2,TRUE,FALSE,16,0.128,0.01282051282051282,0,0.06242483493596184,7.069949357461537,1,0.8035366875616996,98,10,88
